Date,Open,High,Low,Close,Adj Close,Volume,Matdiff,,Maturity date
10/06/2019,6.8,6.93,6.8,6.89,6.89,3794500,368,,12/06/2020
11/06/2019,6.96,7.03,6.92,6.98,6.98,9798900,367,,
12/06/2019,6.89,6.95,6.87,6.88,6.88,4000000,366,,
13/06/2019,6.9,6.93,6.85,6.87,6.87,2624600,365,,
14/06/2019,6.8,6.82,6.74,6.79,6.79,2474300,364,,
17/06/2019,6.88,6.91,6.8,6.82,6.82,4518800,361,,
18/06/2019,6.93,7.12,6.92,7.08,7.08,7085300,360,,
19/06/2019,7.23,7.3,7.17,7.17,7.17,5500900,359,,
20/06/2019,7.2,7.2,7.09,7.17,7.17,5568700,358,,
21/06/2019,7.18,7.23,7.15,7.18,7.18,3267900,357,,
24/06/2019,7.2,7.22,7.1,7.1,7.1,3541100,354,,
25/06/2019,7.1,7.16,7.06,7.12,7.12,4534700,353,,
26/06/2019,7.33,7.4,7.29,7.37,7.37,4736100,352,,
27/06/2019,7.53,7.58,7.46,7.54,7.54,7590400,351,,
28/06/2019,7.71,7.77,7.58,7.63,7.63,7631800,350,,
01/07/2019,7.82,7.83,7.58,7.64,7.64,5429700,347,,
02/07/2019,7.62,7.65,7.59,7.59,7.59,2643900,346,,
03/07/2019,7.75,7.83,7.73,7.81,7.81,3955900,345,,
05/07/2019,8.19,8.28,8.01,8.03,8.03,9271300,343,,
08/07/2019,7.61,7.7,7.46,7.54,7.54,19869000,340,,
09/07/2019,7.34,7.38,7.28,7.28,7.28,10129500,339,,
10/07/2019,7.46,7.54,7.34,7.4,7.4,7037100,338,,
11/07/2019,7.39,7.5,7.33,7.48,7.48,4952300,337,,
12/07/2019,7.59,7.68,7.55,7.67,7.67,6487400,336,,
15/07/2019,7.74,7.79,7.7,7.77,7.77,5487500,333,,
16/07/2019,7.95,8.1,7.94,7.97,7.97,9816500,332,,
17/07/2019,8.03,8.04,7.87,7.88,7.88,5059100,331,,
18/07/2019,7.91,7.94,7.84,7.93,7.93,3811000,330,,
19/07/2019,7.7,7.78,7.67,7.72,7.72,5424900,329,,
22/07/2019,7.81,7.83,7.73,7.8,7.8,2857100,326,,
23/07/2019,7.91,7.98,7.9,7.95,7.95,5412000,325,,
24/07/2019,7.76,7.93,7.72,7.92,7.92,8203300,324,,
25/07/2019,7.95,8,7.78,7.9,7.9,7565000,323,,
26/07/2019,7.93,7.95,7.88,7.93,7.93,4561500,322,,
29/07/2019,7.93,7.93,7.83,7.83,7.83,3211300,319,,
30/07/2019,7.68,7.76,7.62,7.75,7.75,5937700,318,,
31/07/2019,7.89,7.92,7.76,7.81,7.81,5692800,317,,
01/08/2019,7.77,7.85,7.53,7.61,7.61,8559400,316,,
02/08/2019,7.77,7.89,7.71,7.89,7.89,5538200,315,,
05/08/2019,7.74,7.75,7.61,7.65,7.65,5814100,312,,
06/08/2019,7.64,7.68,7.52,7.63,7.63,5752700,311,,
07/08/2019,7.4,7.48,7.33,7.47,7.47,7232500,310,,
08/08/2019,7.53,7.75,7.52,7.66,7.66,6809800,309,,
