date,timestamp,ticker,open,high,low,close,volume,quantity,tradecount
2015-11-17,09:31:00,TSS,52.86,53.0,52.83,53.0,42334.0,800,8
2015-11-17,09:33:00,TSS,52.98,53.05,52.96,53.05,54099.58,1021,10
2015-11-17,09:34:00,TSS,53.05,53.05,52.97,53.04,42424.0,800,5
2015-11-17,09:35:00,TSS,53.03,53.18,53.03,53.18,171297.16,3227,18
2015-11-17,09:36:00,TSS,53.1,53.1,53.03,53.03,50205.68,946,9
2015-11-17,09:37:00,TSS,53.07,53.07,53.01,53.01,42427.0,800,7
2015-11-17,09:38:00,TSS,52.98,52.98,52.97,52.97,21191.0,400,4
2015-11-17,09:39:00,TSS,53.0,53.0,52.94,52.94,119385.05,2253,5
2015-11-17,09:40:00,TSS,52.97,52.99,52.97,52.99,37403.22,706,6
2015-11-17,09:41:00,TSS,52.99,53.07,52.99,53.07,62568.05,1180,10
2015-11-17,09:42:00,TSS,53.11,53.11,53.1,53.1,27028.9,509,5
2015-11-17,09:43:00,TSS,53.09,53.1,53.03,53.1,63693.0,1200,10
2015-11-17,09:45:00,TSS,53.14,53.2,53.12,53.12,47841.0,900,9
2015-11-17,09:46:00,TSS,53.12,53.12,53.06,53.06,21240.0,400,4
2015-11-17,09:47:00,TSS,53.05,53.05,52.97,52.97,32120.57,606,6
2015-11-17,09:48:00,TSS,52.99,52.99,52.99,52.99,5299.0,100,1
2015-11-17,09:49:00,TSS,52.99,52.99,52.98,52.98,124513.68,2350,2
2015-11-17,09:50:00,TSS,52.98,53.03,52.98,53.03,124982.32,2358,19
2015-11-17,09:51:00,TSS,53.03,53.03,52.97,52.97,15897.0,300,3
2015-11-17,09:52:00,TSS,52.98,53.05,52.98,53.03,89979.74,1697,8
2015-11-17,09:53:00,TSS,53.05,53.11,53.05,53.11,141968.39,2674,18
2015-11-17,09:54:00,TSS,53.07,53.08,53.07,53.08,26538.0,500,5
2015-11-17,09:55:00,TSS,53.06,53.06,52.99,52.99,92898.12,1752,9
2015-11-17,09:56:00,TSS,52.99,53.02,52.99,53.0,50355.5,950,8
2015-11-17,09:57:00,TSS,53.01,53.03,53.01,53.03,134191.62,2531,15
2015-11-17,09:58:00,TSS,53.06,53.06,53.02,53.02,55676.0,1050,5
2015-11-17,09:59:00,TSS,53.04,53.04,53.04,53.04,29861.52,563,4
2015-11-17,10:00:00,TSS,53.06,53.09,53.06,53.09,26533.0,500,5
2015-11-17,10:01:00,TSS,53.11,53.13,53.06,53.07,226001.71,4257,28
2015-11-17,10:02:00,TSS,53.07,53.07,53.05,53.05,58737.49,1107,8
2015-11-17,10:03:00,TSS,53.05,53.05,53.01,53.02,45342.75,855,8
2015-11-17,10:04:00,TSS,53.02,53.05,53.02,53.04,95663.2,1804,10
2015-11-17,10:05:00,TSS,53.02,53.04,53.02,53.02,53026.0,1000,10
2015-11-17,10:06:00,TSS,53.02,53.06,53.02,53.06,68946.0,1300,13
2015-11-17,10:07:00,TSS,53.05,53.05,53.03,53.04,90170.0,1700,14
2015-11-17,10:08:00,TSS,53.03,53.03,52.99,53.01,72302.92,1364,10
2015-11-17,10:09:00,TSS,52.99,53.06,52.98,53.06,174973.0,3300,22
2015-11-17,10:10:00,TSS,53.05,53.05,53.04,53.05,72461.3,1366,12
2015-11-17,10:11:00,TSS,53.07,53.08,53.01,53.02,217484.0,4100,30
2015-11-17,10:12:00,TSS,53.04,53.04,53.02,53.02,26514.0,500,4
2015-11-17,10:13:00,TSS,53.04,53.05,53.02,53.02,74253.0,1400,13
2015-11-17,10:14:00,TSS,53.01,53.03,53.01,53.02,111342.0,2100,21
2015-11-17,10:15:00,TSS,53.02,53.05,53.02,53.03,53030.0,1000,10
2015-11-17,10:16:00,TSS,53.03,53.05,53.02,53.05,128071.3,2415,23
2015-11-17,10:17:00,TSS,53.04,53.06,53.01,53.01,44283.8,835,8
2015-11-17,10:18:00,TSS,53.02,53.05,53.02,53.03,31819.49,600,6
2015-11-17,10:19:00,TSS,53.05,53.07,53.03,53.07,53636.36,1011,8
2015-11-17,10:20:00,TSS,53.07,53.07,53.03,53.03,68955.5,1300,8
2015-11-17,10:21:00,TSS,53.04,53.04,53.0,53.0,37109.0,700,6
2015-11-17,10:22:00,TSS,53.02,53.04,53.02,53.02,84839.0,1600,13
2015-11-17,10:23:00,TSS,53.03,53.03,53.03,53.03,15908.5,300,3
2015-11-17,10:24:00,TSS,53.04,53.05,53.04,53.05,102852.51,1939,13
2015-11-17,10:25:00,TSS,53.06,53.06,53.04,53.06,68963.0,1300,11
2015-11-17,10:26:00,TSS,53.06,53.06,53.03,53.03,68950.94,1300,8
2015-11-17,10:27:00,TSS,53.06,53.06,53.02,53.03,44228.02,834,7
2015-11-17,10:28:00,TSS,53.03,53.03,52.99,52.99,112677.87,2126,11
2015-11-17,10:29:00,TSS,52.99,53.05,52.99,53.04,147581.36,2783,22
2015-11-17,10:30:00,TSS,53.06,53.07,53.05,53.07,158534.54,2988,20
2015-11-17,10:31:00,TSS,53.07,53.13,53.07,53.09,262009.2,4935,37
2015-11-17,10:32:00,TSS,53.13,53.13,53.08,53.09,138039.0,2600,20
2015-11-17,10:33:00,TSS,53.1,53.16,53.1,53.16,63753.0,1200,11
2015-11-17,10:34:00,TSS,53.16,53.17,53.16,53.17,31901.0,600,6
2015-11-17,10:35:00,TSS,53.2,53.2,53.15,53.15,101016.88,1900,13
2015-11-17,10:36:00,TSS,53.18,53.19,53.18,53.19,15956.0,300,3
2015-11-17,10:37:00,TSS,53.2,53.23,53.2,53.21,63851.6,1200,8
2015-11-17,10:38:00,TSS,53.21,53.22,53.2,53.22,26605.0,500,5
2015-11-17,10:39:00,TSS,53.23,53.23,53.2,53.2,40281.11,757,6
2015-11-17,10:40:00,TSS,53.2,53.22,53.19,53.19,223478.0,4200,18
2015-11-17,10:41:00,TSS,53.19,53.19,53.14,53.14,97185.15,1828,17
2015-11-17,10:42:00,TSS,53.15,53.15,53.11,53.11,31884.0,600,5
2015-11-17,10:43:00,TSS,53.14,53.17,53.14,53.17,71769.0,1350,10
2015-11-17,10:44:00,TSS,53.18,53.2,53.17,53.19,165800.23,3117,19
2015-11-17,10:45:00,TSS,53.2,53.24,53.2,53.24,117066.5,2200,14
2015-11-17,10:46:00,TSS,53.22,53.24,53.21,53.21,122404.5,2300,13
2015-11-17,10:47:00,TSS,53.21,53.25,53.2,53.25,80362.4,1510,12
2015-11-17,10:48:00,TSS,53.25,53.27,53.24,53.25,106512.0,2000,19
2015-11-17,10:49:00,TSS,53.25,53.25,53.23,53.23,79846.5,1500,8
2015-11-17,10:50:00,TSS,53.23,53.26,53.23,53.26,127735.68,2399,18
2015-11-17,10:51:00,TSS,53.28,53.28,53.22,53.22,101165.0,1900,16
2015-11-17,10:52:00,TSS,53.24,53.24,53.23,53.24,53771.02,1010,9
2015-11-17,10:53:00,TSS,53.24,53.3,53.24,53.29,42616.0,800,6
2015-11-17,10:55:00,TSS,53.28,53.29,53.27,53.27,346340.5,6500,13
2015-11-17,10:56:00,TSS,53.28,53.3,53.27,53.28,242424.0,4550,26
2015-11-17,10:57:00,TSS,53.27,53.28,53.24,53.25,480547.61,9023,39
2015-11-17,10:58:00,TSS,53.24,53.25,53.21,53.21,649592.82,12206,55
2015-11-17,10:59:00,TSS,53.21,53.21,53.18,53.21,617123.0,11600,81
2015-11-17,11:00:00,TSS,53.21,53.21,53.2,53.21,47882.0,900,5
2015-11-17,11:01:00,TSS,53.2,53.22,53.18,53.19,159585.75,3000,29
2015-11-17,11:02:00,TSS,53.19,53.22,53.19,53.22,265107.3,4983,39
2015-11-17,11:03:00,TSS,53.22,53.24,53.22,53.24,87292.2,1640,16
2015-11-17,11:04:00,TSS,53.24,53.29,53.24,53.29,122529.0,2300,21
2015-11-17,11:05:00,TSS,53.29,53.31,53.29,53.31,37309.0,700,7
2015-11-17,11:06:00,TSS,53.33,53.35,53.3,53.3,283654.56,5319,44
2015-11-17,11:07:00,TSS,53.29,53.29,53.28,53.28,26643.0,500,3
2015-11-17,11:08:00,TSS,53.28,53.29,53.28,53.29,26641.0,500,2
2015-11-17,11:09:00,TSS,53.3,53.3,53.26,53.26,127866.5,2400,18
2015-11-17,11:10:00,TSS,53.25,53.26,53.24,53.26,15975.0,300,3
2015-11-17,11:11:00,TSS,53.27,53.28,53.27,53.28,120140.85,2255,10
2015-11-17,11:12:00,TSS,53.3,53.3,53.29,53.3,53295.5,1000,8
2015-11-17,11:13:00,TSS,53.3,53.32,53.3,53.32,96801.56,1816,14
2015-11-17,11:14:00,TSS,53.33,53.33,53.32,53.33,47989.5,900,7
2015-11-17,11:15:00,TSS,53.32,53.35,53.32,53.34,105184.75,1972,15
2015-11-17,11:16:00,TSS,53.35,53.35,53.32,53.34,280009.22,5250,19
2015-11-17,11:17:00,TSS,53.35,53.36,53.33,53.33,163178.96,3059,21
2015-11-17,11:18:00,TSS,53.32,53.33,53.31,53.31,181287.5,3400,18
2015-11-17,11:19:00,TSS,53.32,53.32,53.31,53.31,58645.0,1100,10
2015-11-17,11:20:00,TSS,53.33,53.35,53.33,53.35,81616.7,1530,13
2015-11-17,11:21:00,TSS,53.37,53.39,53.37,53.39,80066.5,1500,15
2015-11-17,11:22:00,TSS,53.38,53.38,53.33,53.38,444200.84,8326,48
2015-11-17,11:23:00,TSS,53.38,53.38,53.34,53.36,750058.11,14058,97
2015-11-17,11:24:00,TSS,53.36,53.39,53.35,53.39,74720.0,1400,13
2015-11-17,11:25:00,TSS,53.38,53.4,53.38,53.4,21354.0,400,2
2015-11-17,11:26:00,TSS,53.38,53.39,53.36,53.36,175616.2,3290,29
2015-11-17,11:27:00,TSS,53.37,53.39,53.36,53.39,121166.85,2270,17
2015-11-17,11:28:00,TSS,53.36,53.38,53.36,53.38,69382.0,1300,10
2015-11-17,11:29:00,TSS,53.39,53.4,53.37,53.38,231984.0,4345,36
2015-11-17,11:30:00,TSS,53.38,53.39,53.38,53.38,117437.5,2200,20
2015-11-17,11:31:00,TSS,53.37,53.46,53.36,53.46,546152.32,10229,75
2015-11-17,11:32:00,TSS,53.48,53.53,53.48,53.53,69016.78,1290,12
2015-11-17,11:33:00,TSS,53.52,53.54,53.51,53.54,219431.0,4100,33
2015-11-17,11:34:00,TSS,53.54,53.55,53.54,53.55,48191.0,900,8
2015-11-17,11:35:00,TSS,53.56,53.59,53.53,53.54,166684.22,3112,27
2015-11-17,11:36:00,TSS,53.54,53.54,53.52,53.53,74944.09,1400,13
2015-11-17,11:37:00,TSS,53.53,53.53,53.52,53.52,42820.0,800,8
2015-11-17,11:38:00,TSS,53.51,53.51,53.5,53.51,72235.5,1350,11
2015-11-17,11:39:00,TSS,53.51,53.51,53.48,53.48,152413.75,2849,24
2015-11-17,11:40:00,TSS,53.49,53.52,53.49,53.51,158487.5,2962,15
2015-11-17,11:41:00,TSS,53.51,53.52,53.51,53.52,214044.66,4000,18
2015-11-17,11:42:00,TSS,53.52,53.54,53.51,53.53,196878.34,3678,32
2015-11-17,11:43:00,TSS,53.53,53.54,53.51,53.54,112399.89,2100,20
2015-11-17,11:44:00,TSS,53.54,53.56,53.51,53.51,144134.1,2692,22
2015-11-17,11:45:00,TSS,53.52,53.52,53.5,53.5,80255.0,1500,10
2015-11-17,11:46:00,TSS,53.5,53.51,53.5,53.51,354173.47,6619,35
2015-11-17,11:47:00,TSS,53.51,53.54,53.51,53.54,133826.5,2500,21
2015-11-17,11:48:00,TSS,53.55,53.55,53.52,53.54,144558.5,2700,24
2015-11-17,11:49:00,TSS,53.53,53.53,53.51,53.51,199308.44,3724,22
2015-11-17,11:50:00,TSS,53.52,53.53,53.52,53.52,58874.0,1100,7
2015-11-17,11:51:00,TSS,53.54,53.55,53.53,53.55,36192.78,676,6
2015-11-17,11:52:00,TSS,53.53,53.56,53.53,53.56,128510.0,2400,17
2015-11-17,11:53:00,TSS,53.56,53.57,53.55,53.56,149960.5,2800,23
2015-11-17,11:54:00,TSS,53.55,53.55,53.5,53.51,496975.7,9286,50
2015-11-17,11:55:00,TSS,53.51,53.52,53.5,53.52,323734.0,6050,42
2015-11-17,11:56:00,TSS,53.51,53.51,53.5,53.51,159723.94,2985,23
2015-11-17,11:57:00,TSS,53.51,53.52,53.51,53.52,171235.0,3200,27
2015-11-17,11:58:00,TSS,53.52,53.52,53.51,53.51,32108.0,600,5
2015-11-17,11:59:00,TSS,53.51,53.53,53.51,53.52,181968.0,3400,22
2015-11-17,12:00:00,TSS,53.52,53.6,53.52,53.6,358563.37,6693,38
2015-11-17,12:01:00,TSS,53.6,53.63,53.6,53.63,385557.83,7191,42
2015-11-17,12:02:00,TSS,53.63,53.64,53.62,53.63,69718.5,1300,11
2015-11-17,12:03:00,TSS,53.62,53.63,53.62,53.63,10725.01,200,2
2015-11-17,12:05:00,TSS,53.63,53.66,53.63,53.64,191337.14,3567,28
2015-11-17,12:06:00,TSS,53.66,53.68,53.66,53.68,26834.0,500,5
2015-11-17,12:07:00,TSS,53.67,53.67,53.66,53.66,118767.71,2213,16
2015-11-17,12:08:00,TSS,53.66,53.67,53.66,53.66,28762.5,536,4
2015-11-17,12:09:00,TSS,53.66,53.67,53.63,53.63,155571.5,2900,25
2015-11-17,12:10:00,TSS,53.64,53.64,53.64,53.64,5364.0,100,1
2015-11-17,12:11:00,TSS,53.65,53.65,53.65,53.65,27200.55,507,4
2015-11-17,12:12:00,TSS,53.65,53.67,53.65,53.67,144886.44,2700,20
2015-11-17,12:13:00,TSS,53.65,53.68,53.65,53.68,33275.6,620,6
2015-11-17,12:14:00,TSS,53.7,53.7,53.7,53.7,5370.0,100,1
2015-11-17,12:15:00,TSS,53.7,53.7,53.7,53.7,13962.0,260,2
2015-11-17,12:16:00,TSS,53.7,53.71,53.7,53.71,16111.0,300,3
2015-11-17,12:17:00,TSS,53.72,53.72,53.71,53.72,64462.5,1200,10
2015-11-17,12:18:00,TSS,53.72,53.72,53.7,53.7,149859.96,2790,19
2015-11-17,12:19:00,TSS,53.71,53.72,53.71,53.72,32229.0,600,6
2015-11-17,12:21:00,TSS,53.73,53.74,53.72,53.72,171922.5,3200,32
2015-11-17,12:22:00,TSS,53.72,53.72,53.69,53.69,48338.0,900,8
2015-11-17,12:23:00,TSS,53.69,53.71,53.69,53.71,51767.39,964,7
2015-11-17,12:24:00,TSS,53.73,53.74,53.73,53.73,166028.2,3090,24
2015-11-17,12:25:00,TSS,53.71,53.72,53.71,53.71,42969.0,800,8
2015-11-17,12:26:00,TSS,53.72,53.72,53.71,53.71,10742.5,200,2
2015-11-17,12:27:00,TSS,53.72,53.73,53.72,53.73,32234.0,600,6
2015-11-17,12:28:00,TSS,53.73,53.74,53.73,53.74,83557.9,1555,9
2015-11-17,12:29:00,TSS,53.75,53.76,53.75,53.76,26878.0,500,5
2015-11-17,12:30:00,TSS,53.76,53.78,53.76,53.78,301651.2,5610,51
2015-11-17,12:31:00,TSS,53.78,53.79,53.77,53.79,280603.05,5218,47
2015-11-17,12:32:00,TSS,53.8,53.8,53.79,53.79,80532.62,1497,10
2015-11-17,12:33:00,TSS,53.82,53.83,53.81,53.83,48166.34,895,8
2015-11-17,12:34:00,TSS,53.81,53.81,53.8,53.8,16141.0,300,3
2015-11-17,12:35:00,TSS,53.79,53.79,53.77,53.77,65025.11,1209,11
2015-11-17,12:36:00,TSS,53.78,53.79,53.78,53.79,32000.1,595,4
2015-11-17,12:37:00,TSS,53.78,53.78,53.75,53.75,145164.5,2700,24
2015-11-17,12:38:00,TSS,53.73,53.74,53.73,53.74,55671.4,1036,5
2015-11-17,12:39:00,TSS,53.74,53.74,53.73,53.74,129598.76,2412,23
2015-11-17,12:40:00,TSS,53.74,53.74,53.72,53.72,20525.4,382,3
2015-11-17,12:41:00,TSS,53.71,53.73,53.7,53.7,91303.0,1700,15
2015-11-17,12:42:00,TSS,53.69,53.71,53.67,53.67,59062.5,1100,10
2015-11-17,12:43:00,TSS,53.66,53.66,53.57,53.59,602454.19,11236,79
2015-11-17,12:44:00,TSS,53.58,53.59,53.56,53.56,75013.0,1400,11
2015-11-17,12:45:00,TSS,53.54,53.54,53.54,53.54,16062.0,300,3
2015-11-17,12:46:00,TSS,53.54,53.56,53.54,53.56,71383.48,1333,11
2015-11-17,12:47:00,TSS,53.57,53.59,53.57,53.59,37934.22,708,7
2015-11-17,12:48:00,TSS,53.58,53.59,53.58,53.59,10717.0,200,2
2015-11-17,12:49:00,TSS,53.59,53.59,53.59,53.59,10718.0,200,2
2015-11-17,12:50:00,TSS,53.59,53.6,53.58,53.58,101817.5,1900,13
